STT,Tên Model,Mã IMEI,Màu sắc,Dung lượng,Giá nhập,Ghi chú
1,"iPhone 15 Pro Max 256GB",358921098765001,"Titan Tự Nhiên",256GB,25000000,"Hàng mới 100% nguyên seal"
2,"iPhone 15 Pro Max 256GB",358921098765002,"Titan Xanh",256GB,25000000,"Hàng mới 100% nguyên seal"
3,"iPhone 15 Pro 128GB",358921098765003,"Titan Đen",128GB,22500000,"Hàng mới 100% nguyên seal"
4,"iPhone 15 Pro 128GB",358921098765004,"Titan Trắng",128GB,22500000,"Hàng mới 100% nguyên seal"
5,"Samsung Galaxy S24 Ultra 512GB",358921098765005,"Xám Titan",512GB,24000000,"Chính hãng SSVN"
6,"Samsung Galaxy S24 Ultra 512GB",358921098765006,"Đen Titan",512GB,24000000,"Chính hãng SSVN"
7,"Samsung Galaxy Z Fold 5 256GB",358921098765007,"Xanh Icy",256GB,26000000,"Chính hãng SSVN"
8,"Xiaomi 14 Ultra 512GB",358921098765008,"Trắng Gốm",512GB,18500000,"Bản quốc tế"
9,"iPhone 14 128GB",358921098765009,"Xanh Blue",128GB,14500000,"Hàng VN/A"
10,"iPhone 14 128GB",358921098765010,"Tím Purple",128GB,14500000,"Hàng VN/A"
